CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0181,0.9811725638814686
C0001,C0120,0.9648048359092719
C0001,C0184,0.954373388426395
C0002,C0088,0.9920070589840886
C0002,C0106,0.9438672103048541
C0002,C0134,0.897674193321878
C0003,C0031,0.9494511065757126
C0003,C0052,0.9444435103754456
C0003,C0195,0.9398703881426748
C0004,C0165,0.9664640752585972
C0004,C0169,0.9446711678621309
C0004,C0087,0.938722988899712
C0005,C0140,0.9934559750221706
C0005,C0186,0.9891552593677108
C0005,C0146,0.9621657393938715
C0006,C0126,0.9682294846419136
C0006,C0118,0.9620387728790549
C0006,C0011,0.9585504423104536
C0007,C0146,0.9978449043927111
C0007,C0115,0.9791420557673445
C0007,C0186,0.9709419226608534
C0008,C0160,0.9257278411059946
C0008,C0038,0.8904682294908791
C0008,C0065,0.866591447324659
C0009,C0061,0.9757536776035226
C0009,C0198,0.9723793527129178
C0009,C0103,0.9522702300076513
C0010,C0111,0.9766010255119916
C0010,C0062,0.9464083345823103
C0010,C0198,0.8413667217911921
C0011,C0137,0.9807198159123625
C0011,C0126,0.9759681223113446
C0011,C0191,0.9651104619451664
C0012,C0163,0.9909566193356152
C0012,C0113,0.9635358408887844
C0012,C0195,0.9566805720949118
C0013,C0099,0.9872009642920094
C0013,C0108,0.9393551326852406
C0013,C0107,0.8595921318450365
C0014,C0060,0.9530801787838153
C0014,C0172,0.9099088890549312
C0014,C0166,0.8449298204014604
C0015,C0131,0.9703832321269112
C0015,C0125,0.8906573161990876
C0015,C0185,0.8765215877938486
C0016,C0042,0.957894452940266
C0016,C0183,0.918381337389283
C0016,C0067,0.8775720812675094
C0017,C0041,0.9591321068986318
C0017,C0075,0.956682668710638
C0017,C0057,0.937721058439351
C0018,C0122,0.9727061242547477
C0018,C0046,0.9696271863730549
C0018,C0194,0.9450941066535801
C0019,C0073,0.995595072484288
C0019,C0132,0.971640636199693
C0019,C0070,0.9419873418613013
C0020,C0035,0.8692696132516707
C0020,C0050,0.8572660444535355
C0020,C0157,0.8326050848085023
